Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather
12/11/2012 13:00,-5.5,-11.1,65,17,24.1,101.18,Mainly Clear
12/11/2012 14:00,-5.2,-11,64,17,24.1,101.21,Mainly Clear
12/11/2012 15:00,-5.7,-11.5,64,13,24.1,101.29,Clear
12/11/2012 16:00,-6.1,-11.6,65,15,24.1,101.35,Clear
12/11/2012 17:00,-6.8,-11.7,68,11,24.1,101.45,Clear
12/11/2012 18:00,-6.9,-11.5,70,13,25,101.51,Clear
12/11/2012 19:00,-7.9,-11,78,13,25,101.6,Clear
12/11/2012 20:00,-7.9,-11.3,77,15,25,101.68,Clear
12/11/2012 21:00,-8.7,-11.6,79,9,25,101.74,Clear
12/11/2012 22:00,-9.1,-11.4,83,6,25,101.78,Clear
12/11/2012 23:00,-8.3,-11.2,80,9,25,101.84,Clear
12/12/2012 0:00,-9.2,-11.6,83,7,25,101.87,Clear
12/12/2012 1:00,-9.4,-11.5,85,7,25,101.91,Clear
12/12/2012 2:00,-10.3,-12,87,4,25,101.96,Clear
12/12/2012 3:00,-9.6,-11.3,87,4,25,102,Clear
12/12/2012 4:00,-10.1,-11.6,89,6,25,102.04,Clear
12/12/2012 5:00,-10.3,-11.7,89,4,25,102.06,Clear
12/12/2012 6:00,-9.5,-11.3,87,4,25,102.1,Clear
12/12/2012 7:00,-11.2,-12.4,91,4,24.1,102.19,Mainly Clear
12/12/2012 8:00,-7.3,-9.2,86,11,24.1,102.14,Mostly Cloudy
12/12/2012 9:00,-6.1,-9,80,4,24.1,102.21,Snow Showers
12/12/2012 10:00,-4.7,-7.6,80,9,24.1,102.2,Snow Showers
12/12/2012 11:00,-3.7,-6.8,79,7,19.3,102.15,Cloudy
12/12/2012 12:00,-2.7,-6.5,75,7,19.3,102.14,Mostly Cloudy
12/12/2012 13:00,-3,-6.7,76,6,19.3,102.14,Mainly Clear
12/12/2012 14:00,-2.9,-6.5,76,7,16.1,102.16,Cloudy
12/12/2012 15:00,-3.2,-6.7,77,6,19.3,102.17,Mostly Cloudy
12/12/2012 16:00,-2.8,-6.2,77,4,12.9,102.2,Mostly Cloudy
12/12/2012 17:00,-3.2,-6,81,7,9.7,102.25,Snow Showers
12/12/2012 18:00,-3.6,-5.7,85,7,12.9,102.28,Snow Showers
12/12/2012 19:00,-4,-6.1,85,11,12.9,102.3,Cloudy
12/12/2012 20:00,-4.4,-6.4,86,7,16.1,102.36,Snow Showers
12/12/2012 21:00,-3.9,-5.9,86,6,16.1,102.37,Snow Showers
12/12/2012 22:00,-3.8,-5.6,87,4,11.3,102.4,Snow Showers
12/12/2012 23:00,-4.3,-5.8,89,4,16.1,102.45,Mainly Clear
12/13/2012 0:00,-6.1,-7.4,90,6,12.9,102.44,Clear
12/13/2012 1:00,-4.3,-5.3,93,11,12.9,102.49,Clear
12/13/2012 2:00,-5.9,-6.6,95,6,11.3,102.57,Clear
12/13/2012 3:00,-6.1,-7,93,11,11.3,102.61,Clear
12/13/2012 4:00,-5.4,-6.2,94,6,8,102.61,Fog
12/13/2012 5:00,-6,-6.8,94,4,9.7,102.63,Fog
12/13/2012 6:00,-6.4,-7.5,92,4,9.7,102.66,Fog
12/13/2012 7:00,-6.1,-7.4,90,4,9.7,102.69,Fog
12/13/2012 8:00,-6,-7.1,92,4,8,102.67,Fog
12/13/2012 9:00,-4.7,-6,91,4,8,102.68,Fog
12/13/2012 10:00,-2.3,-4.2,87,4,6.4,102.64,Fog
12/13/2012 11:00,-0.7,-3.1,84,9,9.7,102.55,Haze
12/13/2012 12:00,-0.4,-2.9,83,9,9.7,102.46,Haze
12/13/2012 13:00,0.1,-2.5,83,9,12.9,102.36,Cloudy
12/13/2012 14:00,1.1,-2.1,79,11,19.3,102.28,Mostly Cloudy
12/13/2012 15:00,2.1,-1.9,75,7,19.3,102.25,Mainly Clear
12/13/2012 16:00,1.3,-2.1,78,9,19.3,102.21,Mainly Clear
12/13/2012 17:00,1.4,-1.8,79,19,25,102.1,Mainly Clear
12/13/2012 18:00,1.1,-2,80,19,25,102.01,Mostly Cloudy
12/13/2012 19:00,1.7,-2.5,74,15,25,101.99,Mainly Clear
12/13/2012 20:00,0.4,-2.5,81,11,25,101.98,Mainly Clear
12/13/2012 21:00,0.6,-2.3,81,15,25,101.9,Mostly Cloudy
12/13/2012 22:00,0.2,-2.5,82,15,25,101.84,Cloudy
12/13/2012 23:00,0.7,-2.3,80,17,25,101.77,Cloudy
12/14/2012 0:00,0.8,-2.6,78,15,25,101.71,Cloudy
12/14/2012 1:00,0,-3,80,17,25,101.62,Mostly Cloudy
12/14/2012 2:00,-0.6,-3.2,83,15,25,101.59,Cloudy
12/14/2012 3:00,-0.8,-3.4,83,15,25,101.51,Cloudy
12/14/2012 4:00,-0.2,-3.5,78,20,25,101.44,Mostly Cloudy
12/14/2012 5:00,0.3,-3.3,77,11,25,101.4,Cloudy
12/14/2012 6:00,0.5,-3.5,75,15,25,101.36,Cloudy
12/14/2012 7:00,2,-3.6,66,20,48.3,101.3,Mainly Clear
12/14/2012 8:00,1.5,-3.5,69,13,48.3,101.32,Mostly Cloudy
12/14/2012 9:00,2.3,-3.1,67,26,48.3,101.32,Mostly Cloudy
12/14/2012 10:00,2.8,-2.4,69,22,24.1,101.34,Cloudy
12/14/2012 11:00,2.6,-2,72,22,24.1,101.35,Rain Showers
12/14/2012 12:00,2.8,-1.5,73,17,24.1,101.33,Cloudy
12/14/2012 13:00,3.3,-1.2,72,22,24.1,101.33,Mostly Cloudy
12/14/2012 14:00,3.2,-1.1,73,19,24.1,101.38,Mostly Cloudy
12/14/2012 15:00,3,-1,75,15,24.1,101.44,Cloudy
12/14/2012 16:00,2.8,-1,76,17,24.1,101.53,Mostly Cloudy
12/14/2012 17:00,2.5,-0.6,80,13,25,101.61,Mostly Cloudy
12/14/2012 18:00,2.3,-1.3,77,17,25,101.7,Cloudy
12/14/2012 19:00,1.8,-3.6,67,19,25,101.76,Mostly Cloudy
12/14/2012 20:00,0.8,-4.7,67,15,25,101.85,Mostly Cloudy
12/14/2012 21:00,-1.5,-6.4,69,22,25,101.96,Mainly Clear
12/14/2012 22:00,-2.9,-7.4,71,20,25,102.06,Mainly Clear
12/14/2012 23:00,-4.3,-8.6,72,22,25,102.13,Mainly Clear
12/15/2012 0:00,-5.3,-10.5,67,20,25,102.18,Clear
12/15/2012 1:00,-6.5,-11.4,68,17,25,102.27,Clear
12/15/2012 2:00,-7.1,-11.8,69,19,25,102.36,Clear
12/15/2012 3:00,-8,-13.2,66,17,25,102.41,Clear
12/15/2012 4:00,-8.5,-13.8,66,15,25,102.42,Clear
12/15/2012 5:00,-9.3,-14.2,67,20,25,102.47,Clear
12/15/2012 6:00,-9.9,-14.5,69,17,25,102.58,Clear
12/15/2012 7:00,-10.2,-15.1,67,19,48.3,102.63,Clear
12/15/2012 8:00,-10.7,-15.6,67,13,48.3,102.69,Clear
12/15/2012 9:00,-10.4,-15.9,64,19,48.3,102.74,Clear
12/15/2012 10:00,-9.9,-15.2,65,13,48.3,102.78,Mainly Clear
12/15/2012 11:00,-9.3,-14.9,64,19,48.3,102.74,Mainly Clear
12/15/2012 12:00,-9.1,-15.1,62,19,48.3,102.71,Mainly Clear
12/15/2012 13:00,-8.4,-14.7,60,19,48.3,102.64,Clear
12/15/2012 14:00,-8,-14.2,61,13,48.3,102.59,Mainly Clear
12/15/2012 15:00,-7.8,-13.7,63,15,48.3,102.55,Mainly Clear
12/15/2012 16:00,-8.5,-14.8,60,20,48.3,102.54,Mainly Clear
12/15/2012 17:00,-8.7,-15.3,59,15,25,102.53,Mainly Clear
12/15/2012 18:00,-9.1,-15.1,62,17,25,102.54,Clear
12/15/2012 19:00,-9.1,-14.7,64,20,25,102.58,Mainly Clear
